ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,2
Basic Problems B,Basic Problem B-02,5
Basic Problems B,Basic Problem B-03,1
Basic Problems B,Basic Problem B-04,3
Basic Problems B,Basic Problem B-05,4
Basic Problems B,Basic Problem B-06,1
Basic Problems B,Basic Problem B-07,6
Basic Problems B,Basic Problem B-08,6
Basic Problems B,Basic Problem B-09,5
Basic Problems B,Basic Problem B-10,3
Basic Problems B,Basic Problem B-11,1
Basic Problems B,Basic Problem B-12,1
Challenge Problems B,Challenge Problem B-01,-1
Challenge Problems B,Challenge Problem B-02,5
Challenge Problems B,Challenge Problem B-03,2
Challenge Problems B,Challenge Problem B-04,2
Challenge Problems B,Challenge Problem B-05,3
Challenge Problems B,Challenge Problem B-06,2
Challenge Problems B,Challenge Problem B-07,6
Challenge Problems B,Challenge Problem B-08,2
Challenge Problems B,Challenge Problem B-09,3
Challenge Problems B,Challenge Problem B-10,6
Challenge Problems B,Challenge Problem B-11,5
Challenge Problems B,Challenge Problem B-12,-1
